segment,restaurant_count,avg_rating,avg_cost,avg_num_ratings
Budget-Friendly,2708,3.395790251107828,235.18796159527326,55.198670605612996
Mid-Range,1254,3.4511164274322166,389.3460925039872,81.57655502392345
Luxury Premium,3143,3.6412026726057904,860.836780146357,346.9643652561247
