restaurant_name,restaurant_type,rating,num_ratings,avg_cost,has_online_order,has_table_booking,cuisines,area,address
#Feeltheroll,Quick Bites,3.4,7,200.0,0,0,Fast Food,Bellandur,Bellandur
#L-81 Cafe,Quick Bites,3.9,48,400.0,1,0,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Hsr
#Refuel,Cafe,3.7,37,400.0,1,0,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road
'@ Biryani Central,Casual Dining,2.7,135,550.0,1,0,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli
'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,"Bbq, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur
'@99,"Takeaway, Delivery",3.4,37,200.0,0,0,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield
'@Italy,Casual Dining,4.1,305,700.0,1,0,Italian,Banashankari,Kumaraswamy Layout
'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300.0,0,0,North Indian,Indiranagar,Old Airport Road
1000 B.C,Quick Bites,3.2,49,300.0,1,0,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
100Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚°C,Casual Dining,3.7,41,450.0,0,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Btm
11 To 11 Express Biriyanis,Quick Bites,3.5,22,300.0,1,0,"Biryani, Kebab",Electronic City,Electronic City
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500.0,0,1,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar
12Th Main - Grand Mercure,Fine Dining,4.1,353,2000.0,0,1,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block
1441 Pizzeria,Casual Dining,4.1,119,800.0,1,0,"Pizza, Salad",Basavanagudi,Jp Nagar
1522 - The Pub,Pub,4.2,1731,1400.0,1,0,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram
154 Breakfast Club,Cafe,4.0,1509,900.0,1,1,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block
1722 Urban Bistro,Casual Dining,4.1,218,600.0,1,1,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
18+ Ice Cafe,Cafe,3.5,24,550.0,0,0,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli
1947,Casual Dining,3.9,620,1000.0,0,1,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar
1980S Games Cafe,Cafe,3.4,58,400.0,1,0,"Cafe, Fast Food",Banashankari,Basavanagudi
1992 Chats - Space,Quick Bites,3.7,33,200.0,1,0,Street Food,Malleshwaram,Rajajinagar
1Q1,"Casual Dining, Bar",4.3,595,2500.0,0,1,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road
1To3 Kitchen,Delivery,3.1,11,800.0,0,0,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli
2 Statez,Casual Dining,3.7,209,600.0,1,0,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar
20 Char - Sterlings Mac Hotel,"Casual Dining, Bar",4.0,419,1400.0,1,1,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road
20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,1,1,"American, Continental, Steak, Salad",Brigade Road,Church Street
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000.0,0,0,Continental,Basavanagudi,Jayanagar
24 Carats - The Capitol,Casual Dining,3.1,46,1000.0,0,0,"Asian, Continental",Brigade Road,Cunningham Road
24 Hours Cake Delivery,Delivery,3.3,4,700.0,0,0,Bakery,Indiranagar,Old Airport Road
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800.0,0,0,Cafe,Electronic City,Electronic City
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000.0,0,1,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram
24/7 Food Service,"Takeaway, Delivery",2.9,7,300.0,1,0,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Jp Nagar
24@43 - The Oterra,Fine Dining,4.1,268,3000.0,0,1,"North Indian, Asian, Continental",Electronic City,Electronic City
24Th Main,Casual Dining,4.1,1234,800.0,0,1,"North Indian, South Indian, Chinese",Bannerghatta Road,Jp Nagar
29 Degrees North,Quick Bites,3.9,283,250.0,1,0,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi
2Nd Home Restaurant,Quick Bites,3.7,21,500.0,1,0,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm
3 Leafs,Casual Dining,3.7,128,600.0,1,0,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura
3 Spice,Casual Dining,3.9,156,450.0,1,0,"North Indian, Chinese",Koramangala 7Th Block,Wilson Garden
30 Square,Quick Bites,4.2,556,400.0,1,0,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400.0,1,0,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari
36Th Cross Coffee Mane,Casual Dining,3.7,29,500.0,0,0,"North Indian, Chinese",Jp Nagar,Btm
37 China Town,Casual Dining,3.5,58,900.0,0,0,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road
"3B'S - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100.0,0,1,"North Indian, Mediterranean, European, Bbq","Byresandra,Tavarekere,Madiwala",Btm
3G'S - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100.0,1,1,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram
3Rd Innings,"Casual Dining, Bar",3.0,17,1000.0,0,0,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City
4 Mangoes,Kiosk,3.7,14,200.0,0,0,Ice Cream,Indiranagar,Old Airport Road
4 Seasons Restaurant,Casual Dining,3.7,399,1000.0,1,1,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar
4 States,Food Court,3.2,4,400.0,0,0,South Indian,Sarjapur Road,Bellandur
46 Ounces Brewgarden,Microbrewery,2.8,40,1600.0,0,1,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City
4700Bc Popcorn,"Takeaway, Delivery",4.1,55,500.0,0,0,Fast Food,Whitefield,Whitefield
4Foodiez,Quick Bites,3.6,82,300.0,1,0,"South Indian, North Indian, Chinese",Electronic City,Electronic City
4Foodiez - The Restaurant,Quick Bites,3.0,23,400.0,0,0,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City
4K Biryani,Delivery,3.3,4,700.0,1,0,"North Indian, Chinese",Hsr,Hsr
4Th Tea Block,Cafe,4.0,62,150.0,0,0,Cafe,Basavanagudi,Jayanagar
5 Star Food,Quick Bites,2.8,40,300.0,1,0,"South Indian, Fast Food",Frazer Town,Kammanahalli
50-50 Eating House,Quick Bites,3.2,4,100.0,0,0,"South Indian, Biryani",Banashankari,Basavanagudi
52 Wall Street,"Bar, Casual Dining",3.9,737,1400.0,0,0,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block
55 Wall Street,Bar,3.9,1763,1300.0,0,1,"Finger Food, North Indian, Chinese",Bannerghatta Road,Jp Nagar
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150.0,0,0,"Mithai, Street Food",Hsr,Hsr
5Th Main Cafe,Cafe,3.5,15,250.0,0,0,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr
7 Days Restaurant,Quick Bites,3.8,478,400.0,1,0,"North Indian, Chinese, Arabian",Electronic City,Electronic City
7 Degrees North,Casual Dining,3.5,11,500.0,0,0,North Indian,Hsr,Hsr
7 Hills Andhra Mess,Mess,3.4,8,300.0,0,0,Andhra,Indiranagar,Cv Raman Nagar
7 Plates,Casual Dining,3.5,531,600.0,1,0,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar
7 Shanghai,Quick Bites,3.5,18,250.0,1,0,Chinese,Electronic City,Electronic City
7 Spice,Quick Bites,3.4,5,250.0,0,0,"Biryani, Chinese",Kalyan Nagar,Banaswadi
7 To 11 Food Court,Quick Bites,3.7,16,200.0,1,0,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000.0,0,1,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road
7Biryanis,Casual Dining,3.2,4,600.0,1,0,"Andhra, Biryani",Kalyan Nagar,Nagawara
7Th Heaven,Bakery,3.6,17,300.0,0,0,"Bakery, Desserts",New Bel Road,New Bel Road
8 Slice,Delivery,3.7,74,600.0,1,0,Pizza,Brigade Road,Koramangala 6Th Block
9 Bowls,Quick Bites,2.8,40,500.0,1,0,"Healthy Food, Continental, North Indian, Chinese",Hsr,Koramangala 1St Block
90'S,Quick Bites,2.8,40,200.0,0,0,North Indian,Hsr,Hsr
90'S Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7,1000.0,0,0,Finger Food,Electronic City,Electronic City
90'S Cafe,Quick Bites,2.8,40,500.0,0,0,"Fast Food, Burger",Jayanagar,Jp Nagar
99 Caffe,Quick Bites,3.6,106,250.0,1,0,"South Indian, North Indian, Chinese",Brookefield,Brookefield
99 Pancakes,Dessert Parlor,4.1,41,150.0,1,0,"Desserts, Ice Cream",Brigade Road,Church Street
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250.0,1,0,"South Indian, North Indian, Street Food",Koramangala 5Th Block,Koramangala 6Th Block
99 Variety Dosa And Pav Bhaji,Quick Bites,4.0,101,250.0,1,0,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala",Hsr
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300.0,1,0,"South Indian, North Indian, Fast Food, Chinese",Hsr,Hsr
99Foods,Quick Bites,3.4,32,400.0,0,0,"Biryani, North Indian, Chinese, Kebab",Marathahalli,Marathahalli
9D Foods,Quick Bites,4.0,458,400.0,1,0,"North Indian, Street Food",Brookefield,Marathahalli
9Th Cross Cafe,Cafe,3.6,12,550.0,0,0,"Cafe, Italian, French",Indiranagar,Jeevan Bhima Nagar
A 1 Pizza And Food,Delivery,2.8,211,300.0,1,0,"Pizza, Chinese, North Indian",Indiranagar,Old Airport Road
A Bar,Bar,3.3,19,600.0,0,0,"North Indian, Continental","Byresandra,Tavarekere,Madiwala",Hsr
A Hole Lotta Love Cafe,Cafe,4.3,2871,600.0,1,0,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4Th Block,Koramangala 5Th Block
A Little For Love,Bakery,3.4,12,350.0,0,0,Bakery,Kalyan Nagar,Hennur
A M Biryani Hotel,Quick Bites,3.3,6,300.0,1,0,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road,Bannerghatta Road
A Southern Fair,Casual Dining,3.0,19,750.0,1,0,"Biryani, Seafood, South Indian",Whitefield,Whitefield
A Today Thick Shakes,Beverage Shop,3.2,9,200.0,0,0,Beverages,Jayanagar,Koramangala 5Th Block
A.M New Punjab Food Corner,Quick Bites,3.5,21,350.0,1,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300.0,0,0,Biryani,Rajajinagar,Basaveshwara Nagar
A1 Biriyani Point,Quick Bites,3.0,10,200.0,0,0,Biryani,Malleshwaram,Seshadripuram
A1 Garam Masala,Casual Dining,3.6,25,500.0,1,0,"North Indian, Andhra, Chinese",Jp Nagar,Kanakapura Road
A1 Hot Dum Biryani,Quick Bites,3.2,4,150.0,0,0,Biryani,Whitefield,Whitefield
A1 Spice Inn,Casual Dining,3.5,46,500.0,0,0,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram,Yeshwantpur
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400.0,1,0,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield,Whitefield
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400.0,1,0,"South Indian, Fast Food, Street Food",Basavanagudi,Basavanagudi
A3 Nuwang Kitchen,Quick Bites,3.7,42,300.0,1,0,"Chinese, North Indian",Indiranagar,Ejipura
Aaccord Restaurant,Casual Dining,2.8,40,600.0,0,0,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm
Aadhya Hotel,"Casual Dining, Bar",3.3,5,800.0,1,0,"South Indian, North Indian, Chinese, Biryani",Banashankari,Basavanagudi
Aadvik Nightfood,Delivery,3.6,22,350.0,1,0,Fast Food,Frazer Town,Frazer Town
Aagaman Veg,Casual Dining,2.8,40,900.0,1,0,"North Indian, Chinese, South Indian",Electronic City,Electronic City
Aaha,Quick Bites,3.6,93,300.0,1,0,"North Indian, Chinese",Marathahalli,Brookefield
Aaha Andhra,Casual Dining,3.4,58,900.0,0,0,"Andhra, Biryani, North Indian",Marathahalli,Marathahalli
Aahar Cafe,Quick Bites,3.5,40,100.0,0,0,South Indian,Basavanagudi,Basavanagudi
Aahar Vihar,Quick Bites,4.0,68,250.0,1,0,North Indian,Brookefield,Marathahalli
Aahara Vihar,Quick Bites,3.5,13,300.0,0,0,"South Indian, North Indian, Chinese",Malleshwaram,Malleshwaram
Aaharam,Quick Bites,4.0,65,350.0,0,0,"Chinese, North Indian",Hsr,Koramangala 1St Block
Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650.0,1,0,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block
Aami Bangali,Casual Dining,3.0,66,700.0,1,0,Bengali,"Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
Aami Kolkata,Delivery,3.3,5,600.0,0,0,Bengali,Bannerghatta Road,Bannerghatta Road
Aao G Khao G,Quick Bites,3.5,11,200.0,1,0,"North Indian, Chinese",Hsr,Hsr
Aapni Rasoi,Quick Bites,3.2,127,400.0,1,0,North Indian,Bellandur,Bellandur
Aaranya Restaurant,Casual Dining,3.4,212,800.0,1,0,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",Hsr
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200.0,1,0,"North Indian, Fast Food",New Bel Road,New Bel Road
Aarya Pork Hotel,Quick Bites,3.3,11,300.0,0,0,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Btm
Aashirvaad Restaurant,Quick Bites,3.1,249,300.0,1,0,"North Indian, Oriya, Chinese",Brookefield,Marathahalli
Aashish Foods,Quick Bites,2.7,35,150.0,1,0,North Indian,Brookefield,Brookefield
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600.0,1,0,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Hsr
Aastha Bengali Mess,Quick Bites,3.9,131,250.0,1,0,"Chinese, Bengali",Malleshwaram,Yeshwantpur
Aata'S Kitchen,Quick Bites,2.8,40,250.0,1,0,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block
Aathithya,Casual Dining,3.1,16,1100.0,0,0,"North Indian, Continental, Chinese",Brigade Road,Infantry Road
Aathurar,Casual Dining,3.2,574,600.0,1,0,"Chettinad, Biryani, South Indian, Seafood",Indiranagar,Jeevan Bhima Nagar
Abbabi Chicken,Quick Bites,3.7,134,200.0,0,0,Fast Food,Sarjapur Road,Bellandur
Abc Grand,Casual Dining,3.5,54,400.0,0,0,"Andhra, Chinese, North Indian",Old Airport Road,Indiranagar
Abhiruchi,Casual Dining,3.8,164,650.0,0,0,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar,Kammanahalli
Abhiruchi Andhra Mess,Mess,3.1,61,300.0,1,0,"Andhra, Biryani, South Indian",Whitefield,Whitefield
Abhiruchi Hotel,Casual Dining,3.2,12,500.0,1,0,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300.0,1,0,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli
Abhiruchi Restaurant,Casual Dining,3.4,5,400.0,1,0,"Andhra, North Indian, Chinese",Bellandur,Sarjapur Road
Ab'S - Absolute Barbecues,Casual Dining,4.6,1502,1400.0,0,1,"European, Mediterranean, North Indian, Bbq",Kalyan Nagar,Kalyan Nagar
Absolute Chinese,Quick Bites,3.8,209,450.0,1,0,"Chinese, Fast Food, Momos",Malleshwaram,Rajajinagar
Absolute Shawarma,"Takeaway, Delivery",2.8,40,150.0,1,0,Lebanese,Brookefield,Brookefield
Absolute Waffles,Dessert Parlor,3.9,49,200.0,1,0,"Desserts, Fast Food",Malleshwaram,New Bel Road
Aburrahaman,Delivery,2.8,40,400.0,0,0,"North Indian, South Indian, Chinese",Indiranagar,Thippasandra
Abzain Paradise,Quick Bites,2.9,42,300.0,0,0,North Indian,New Bel Road,Sanjay Nagar
Achayyan'S,Quick Bites,3.8,405,350.0,1,0,"Kerala, South Indian",Indiranagar,Indiranagar
Ackley Kitchen,Quick Bites,3.6,33,500.0,1,0,"Fast Food, Continental, Burger",Marathahalli,Kaggadasapura
Adarsh Bakery,Bakery,3.1,10,300.0,0,0,"Bakery, Fast Food",Electronic City,Electronic City
Adda,Quick Bites,3.3,5,300.0,0,0,South Indian,Basavanagudi,Shanti Nagar
Addhuri Udupi Bhojana,Quick Bites,3.7,88,300.0,0,0,"South Indian, North Indian",Banashankari,Banashankari
Adiga'S,Quick Bites,3.3,55,150.0,0,0,South Indian,Basavanagudi,Jayanagar
Adi'S Cake N Cafe,Bakery,3.3,4,400.0,0,0,Bakery,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road
Adithya,Casual Dining,3.9,178,450.0,1,0,"South Indian, North Indian, Chinese",Bannerghatta Road,Jp Nagar
Adithya Family Restaurant,Quick Bites,3.7,27,250.0,0,0,South Indian,"Byresandra,Tavarekere,Madiwala",Btm
Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200.0,0,0,North Indian,Brigade Road,Shanti Nagar
Adithya Veg,Quick Bites,3.3,10,300.0,0,0,"South Indian, Chinese",Basavanagudi,Jayanagar
Aditya Delights,Quick Bites,3.7,59,300.0,0,0,"Chinese, North Indian, Mangalorean",New Bel Road,New Bel Road
Aditya Sweets,Sweet Shop,3.7,21,200.0,1,0,"Mithai, Fast Food",Brookefield,Whitefield
Aditya Uphar,Quick Bites,3.5,30,200.0,0,0,"South Indian, Chinese, North Indian",Jp Nagar,Jp Nagar
Adukkala Restaurant,Casual Dining,2.9,128,600.0,1,0,Kerala,Kammanahalli,Banaswadi
Adupadi,Quick Bites,2.9,25,450.0,0,0,"South Indian, Chettinad",Whitefield,Whitefield
Advika Briyani Center,Delivery,3.2,10,300.0,0,0,Biryani,Jp Nagar,Jp Nagar
Adya Hotel,Quick Bites,3.3,4,400.0,0,0,"South Indian, North Indian, Chinese",Electronic City,Electronic City
Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200.0,0,0,"South Indian, North Indian, Chinese, Street Food",Electronic City,Electronic City
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200.0,1,0,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala",Btm
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200.0,1,0,"Mithai, Desserts",Jp Nagar,Jp Nagar
Afghani Tandoori Hub,Quick Bites,3.6,14,400.0,1,0,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala",Btm
Afoozoo - Ginger Hotel,Casual Dining,3.5,40,800.0,0,0,"North Indian, Chinese",Brookefield,Whitefield
Afrina'S Kitchen,"Takeaway, Delivery",3.4,9,250.0,1,0,"Fast Food, Desserts",Frazer Town,Kammanahalli
Agarwal Food Service,Delivery,3.5,16,400.0,1,0,"North Indian, Chinese, Biryani",Hsr,Hsr
Agent Jack'S Bar,Bar,4.0,377,1300.0,0,1,"Continental, North Indian, Italian",Kalyan Nagar,Kalyan Nagar
Agraharaa,Quick Bites,2.8,40,150.0,0,0,South Indian,Koramangala 4Th Block,Koramangala 6Th Block
Agraharam Meal,"Takeaway, Delivery",3.7,61,300.0,0,0,"North Indian, South Indian",Marathahalli,Kaggadasapura
Aha Juice Bar,Beverage Shop,3.6,13,200.0,0,0,"Beverages, Fast Food",Bannerghatta Road,Btm
Ahaan Restaurant,Delivery,2.8,76,300.0,1,0,"North Indian, Chinese",Frazer Town,Rt Nagar
Ahimsaamrit Green Cafe,Casual Dining,3.4,9,800.0,0,0,"Healthy Food, Salad, Continental",Indiranagar,Indiranagar
Ahmad'S Chicken Hut,Quick Bites,3.2,9,200.0,0,0,"North Indian, Chinese",Kalyan Nagar,Banaswadi
Ahmed'S Little Hut,Quick Bites,2.8,40,250.0,1,0,Fast Food,Bannerghatta Road,Btm
Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250.0,0,0,"North Indian, Chinese",Frazer Town,Frazer Town
Aioli,Casual Dining,4.2,783,1400.0,0,1,"Mediterranean, Continental, Italian, Salad",Kalyan Nagar,Kalyan Nagar
Airlines Hotel,Quick Bites,4.0,867,400.0,1,0,"South Indian, North Indian, Street Food",Brigade Road,Lavelle Road
Aisha Tharavad,Quick Bites,3.5,40,400.0,0,0,"South Indian, Kerala",Koramangala 6Th Block,Ejipura
Aishwarya,Dhaba,3.3,6,450.0,0,0,"Chinese, North Indian",Whitefield,Whitefield
Aishwarya Parkland,Casual Dining,2.9,59,500.0,0,0,"Chinese, North Indian",Bannerghatta Road,Bannerghatta Road
Aishwarya Sweets,Sweet Shop,3.6,24,250.0,1,0,"Mithai, Street Food",Malleshwaram,Rajajinagar
Aishwarya Uphar,Quick Bites,2.8,40,150.0,0,0,"South Indian, North Indian",Brigade Road,Ulsoor
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500.0,1,1,"Biryani, South Indian",Bellandur,Sarjapur Road
Akkad Bakkad,Casual Dining,3.9,72,600.0,1,1,"North Indian, Chinese",Electronic City,Electronic City
Aks Family Dhaba And Restaurant,Quick Bites,3.6,40,500.0,1,0,"North Indian, Mughlai, South Indian",Marathahalli,Marathahalli
Akshara,Casual Dining,3.8,42,700.0,1,0,"North Indian, South Indian, Chinese",Electronic City,Electronic City
Akshatha Nati Style,Quick Bites,3.7,20,500.0,0,0,"South Indian, Chinese, North Indian",Rajajinagar,Vijay Nagar
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600.0,1,0,"North Indian, South Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block
Akshaya Biryani,Quick Bites,3.6,20,300.0,1,0,"Biryani, North Indian",Bellandur,Sarjapur Road
Akshaya Deluxe,Casual Dining,4.0,336,500.0,1,0,"North Indian, Chinese, Seafood, Biryani",New Bel Road,New Bel Road
Akshaya Donne Biriyani,Quick Bites,3.0,39,300.0,1,0,"Biryani, South Indian, Kebab",Jp Nagar,Jp Nagar
Akshaya Family Restaurant,Quick Bites,3.2,4,150.0,1,0,"South Indian, North Indian",Kalyan Nagar,Banaswadi
Akshaya Grand,Casual Dining,3.4,29,750.0,1,0,North Indian,"Byresandra,Tavarekere,Madiwala",Btm
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200.0,0,0,"South Indian, Chinese",Church Street,Vasanth Nagar
Akss - India Reimagined,Casual Dining,4.2,258,1800.0,0,1,"Modern Indian, North Indian",Malleshwaram,Sadashiv Nagar
Al Amal Cafe,"Cafe, Quick Bites",4.0,74,300.0,0,0,"Cafe, Fast Food",Kalyan Nagar,Kammanahalli
Al Amanah Cafe,Quick Bites,4.4,1413,300.0,1,0,"Middle Eastern, Fast Food, Rolls",Frazer Town,Kammanahalli
Al Ameen Rolls Corner,Quick Bites,3.7,16,200.0,0,0,Rolls,Kalyan Nagar,Kammanahalli
Al Barack Cafetaria,Quick Bites,3.6,20,300.0,0,0,Arabian,Kalyan Nagar,Banaswadi
Al Daaz,Casual Dining,4.2,567,550.0,1,0,"North Indian, Continental, Bbq",Bellandur,Hsr
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300.0,1,0,Biryani,Jayanagar,Basavanagudi
Al Ghani Resetaurant,Quick Bites,3.3,4,400.0,0,0,"Mughlai, Biryani",Kammanahalli,Kammanahalli
Al Habibi Restaurant,Quick Bites,3.5,17,300.0,1,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm
Al Hayath,Quick Bites,3.5,16,200.0,0,0,"North Indian, Chinese",Koramangala 5Th Block,Btm
Al Hayath Ambur Biryani,Quick Bites,3.3,9,200.0,0,0,Biryani,Koramangala 4Th Block,Ejipura
Al Karim,Casual Dining,3.7,90,400.0,0,0,"Mughlai, North Indian, Biryani, Chinese",Kammanahalli,Kalyan Nagar
Al Khaleej Snacks Corner,Quick Bites,2.8,40,200.0,0,0,"Lebanese, Fast Food, Beverages",Basavanagudi,Jayanagar
Al Khansah,Casual Dining,3.9,370,550.0,1,0,"Biryani, Mughlai, Chinese, North Indian, Kebab",Bellandur,Bellandur
Al Khwaja,Casual Dining,3.0,13,400.0,0,0,"North Indian, Chinese",Bellandur,Bellandur
Al Madhina Roll House,Quick Bites,3.4,6,300.0,0,0,"North Indian, Chinese",Kammanahalli,Kalyan Nagar
Al Madina Family Restaurant,Quick Bites,2.8,40,500.0,0,0,"North Indian, South Indian, Arabian",Basavanagudi,City Market
Al Madina Roll House,Quick Bites,3.6,16,150.0,1,0,Biryani,Kalyan Nagar,Kalyan Nagar
Al Manar,Quick Bites,2.8,40,400.0,0,0,"South Indian, North Indian, Chinese",Koramangala 7Th Block,Wilson Garden
Al Noor,Quick Bites,3.7,21,350.0,0,0,"North Indian, Chinese, Arabian, Rolls",Brigade Road,Shivajinagar
Al Sadique,Quick Bites,3.9,185,450.0,1,0,"North Indian, Mughlai, Chinese, Rolls",Rajajinagar,Magadi Road
Al Sadique Restaurant,Quick Bites,3.4,32,350.0,0,0,"Mughlai, North Indian, Street Food",Mg Road,Frazer Town
Al Swaad Take Away,Quick Bites,3.1,12,350.0,1,0,"North Indian, South Indian, Arabian",Brigade Road,Richmond Road
Al Taj Fast Food,Quick Bites,3.2,4,600.0,1,0,"Fast Food, North Indian, South Indian, Chinese",Rajajinagar,Vijay Nagar
Al Zaiqa Hotel,Quick Bites,3.4,14,200.0,1,0,"Chinese, South Indian, Fast Food",Marathahalli,Marathahalli
Alampur Bar And Restaurant,Casual Dining,3.7,42,900.0,1,0,"Chinese, South Indian, North Indian",Brigade Road,Race Course Road
Alankar Restaurant,Casual Dining,2.8,40,800.0,0,0,"South Indian, North Indian, Chinese",Marathahalli,Marathahalli
Alankrutha,Casual Dining,3.8,260,500.0,1,0,"Andhra, Biryani, North Indian, Chinese",Koramangala 5Th Block,Btm
Alba - Jw Marriott Bengaluru,Fine Dining,4.4,561,4000.0,0,1,Italian,Church Street,Lavelle Road
Al-Badia Restaurant,Casual Dining,4.2,89,700.0,0,0,Arabian,Kalyan Nagar,Kammanahalli
Al-Baik Kabab Corner,Quick Bites,3.2,25,350.0,1,0,"Kebab, Biryani",Malleshwaram,Yeshwantpur
Al-Baik Tandoori Restaurant,Quick Bites,3.6,113,450.0,1,0,"North Indian, Chinese, Arabian, Biryani, Rolls",Frazer Town,Nagawara
Al-Bek,Casual Dining,3.9,682,650.0,1,0,"North Indian, Mughlai, Chinese, Seafood","Byresandra,Tavarekere,Madiwala",Jayanagar
