restaurant_name,restaurant_type,rating,num_ratings,avg_cost,has_online_order,has_table_booking,cuisines,area,address
Mecaf Family Restaurant,Casual Dining,3.9,214,400.0,1,0,"North Indian, Chinese, Fast Food",Basavanagudi,Btm
Meena'S Kitchen,Delivery,3.5,10,400.0,1,0,"Continental, North Indian, Mexican",Brookefield,Marathahalli
Meenu Oota Da Maane,Casual Dining,3.0,22,700.0,1,0,"Seafood, Mangalorean, Chinese",Indiranagar,Brigade Road
Meeraa'S Beegara Oota,Casual Dining,3.8,258,550.0,1,0,"South Indian, Biryani, Chinese",Hsr,Hsr
Mega Bite,Casual Dining,3.5,54,1100.0,0,1,"North Indian, Chinese, South Indian, Continental",Whitefield,Whitefield
Meghana Biriyanis,Quick Bites,3.9,375,400.0,1,0,"Andhra, Biryani, South Indian, Chinese",Kalyan Nagar,Nagawara
Meghana Biryani,Casual Dining,2.3,235,800.0,1,0,North Indian,Bellandur,Bellandur
Meghana Foods,Casual Dining,4.2,1745,750.0,1,1,"Biryani, Chinese, North Indian, Seafood",Indiranagar,Indiranagar
Meghana Foods Grand,Casual Dining,4.2,3334,600.0,1,0,"Biryani, Seafood, Andhra, North Indian",Bellandur,Marathahalli
Meghana Grand,Casual Dining,3.5,131,800.0,1,0,"Biryani, Andhra",Brookefield,Whitefield
Mehfil Family Restaurant,Quick Bites,3.0,81,750.0,1,0,North Indian,Malleshwaram,Malleshwaram
Melange - Hotel Ekaa,Casual Dining,3.2,426,900.0,1,1,"North Indian, Chinese, Continental, Mangalorean",Electronic City,Electronic City
Melange - Radisson Blu,Fine Dining,4.5,785,2700.0,0,1,"North Indian, Continental, Chinese, South Indian",Marathahalli,Marathahalli
Mel'S Korner,Quick Bites,3.7,95,500.0,0,0,Fast Food,Lavelle Road,Church Street
Melt,Casual Dining,4.0,115,1000.0,0,0,"Continental, Steak, Fast Food","Byresandra,Tavarekere,Madiwala",Btm
Melt - Eden Park,Casual Dining,4.0,347,1000.0,1,1,"North Indian, Chinese, Thai, Mughlai, Seafood",Bannerghatta Road,Jp Nagar
