restaurant_name,rating,avg_cost,area,primary_cuisine,cluster_name
Bullet Biryani,3.2,300.0,"Byresandra,Tavarekere,Madiwala",Biryani,Budget-Friendly
Bulls N Bears - Bar Trade Xchange,3.8,1000.0,Koramangala 7Th Block,Finger Food,Luxury Premium
Bun Maska Chai,3.9,250.0,Indiranagar,Street Food,Budget-Friendly
Bun Town,3.8,500.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Bun World,3.9,250.0,Malleshwaram,Bakery,Budget-Friendly
Bundar,4.1,700.0,Koramangala 4Th Block,Cafe,Luxury Premium
Bunker Restaurant,3.7,300.0,Sarjapur Road,North Indian,Budget-Friendly
Bunny Bakers,3.6,250.0,"Byresandra,Tavarekere,Madiwala",Bakery,Budget-Friendly
Bunt'S Biriyani Palace,3.0,400.0,Banashankari,North Indian,Mid-Range
Bunty'S Belly,2.8,300.0,Kalyan Nagar,Cafe,Budget-Friendly
Burger Bite House,2.6,400.0,Marathahalli,Burger,Mid-Range
Burger Crush,3.2,500.0,Bellandur,Fast Food,Luxury Premium
Burger Garden,3.4,300.0,"Byresandra,Tavarekere,Madiwala",Fast Food,Budget-Friendly
Burger King,3.5,600.0,Bellandur,Burger,Luxury Premium
Burger Lounge,3.0,600.0,"Byresandra,Tavarekere,Madiwala",Burger,Luxury Premium
Burger Man,3.4,300.0,New Bel Road,Burger,Budget-Friendly
Burger Mania,2.8,400.0,Hsr,Burger,Mid-Range
Burgundy - Royal Orchid Suites,3.9,1200.0,Whitefield,North Indian,Luxury Premium
Burj Hotel,3.4,350.0,Bannerghatta Road,North Indian,Mid-Range
Burma Burma,4.7,1500.0,Indiranagar,Asian,Luxury Premium
Burp,4.0,800.0,Malleshwaram,Cafe,Luxury Premium
Burrito Boys,2.7,330.0,Bellandur,Mexican,Mid-Range
Butter Cup,3.5,250.0,Jayanagar,Desserts,Budget-Friendly
Butter Side Up,4.1,600.0,Bellandur,Desserts,Luxury Premium
Buttercup Bakes,3.6,500.0,Malleshwaram,Bakery,Luxury Premium
Butterly,3.9,450.0,Bannerghatta Road,Cafe,Luxury Premium
Butterly Cafe,3.1,550.0,Whitefield,Cafe,Luxury Premium
By 2 Coffee,3.7,100.0,Basavanagudi,South Indian,Budget-Friendly
By Chance,2.8,1100.0,Brigade Road,North Indian,Luxury Premium
By The Blue - Grand Mercure,4.1,1500.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
By Two Coffee,3.3,300.0,Rajajinagar,South Indian,Budget-Friendly
Byblos,4.2,1700.0,Indiranagar,Lebanese,Luxury Premium
Byg Brewski Brewing Company,4.9,1600.0,Bellandur,Continental,Luxury Premium
Byli - Bet You Love It!,4.2,800.0,Kalyan Nagar,Continental,Luxury Premium
C Corner,3.2,200.0,Banashankari,Fast Food,Budget-Friendly
C K Bake & Juice,3.1,150.0,"Byresandra,Tavarekere,Madiwala",Juices,Budget-Friendly
C Kosila Kitchen,3.1,300.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
C R Mangalore Bakery,2.8,300.0,Bellandur,Bakery,Budget-Friendly
C Sharp Kitchen,3.4,600.0,Brigade Road,North Indian,Luxury Premium
C. K. Mega Hot Food,3.9,600.0,Bannerghatta Road,Chinese,Luxury Premium
Cable Car,4.3,1000.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Cad (M) Cad (B),3.2,200.0,Kalyan Nagar,Street Food,Budget-Friendly
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É Delight,3.2,400.0,Brookefield,Cafe,Mid-Range
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É Down The Alley,4.1,500.0,Banashankari,Cafe,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É Felix,4.4,1700.0,Indiranagar,American,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É Mh-28,3.4,300.0,Brigade Road,Cafe,Budget-Friendly
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É Mor'Ish,4.1,700.0,Brigade Road,Bbq,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É S,3.2,600.0,Koramangala 4Th Block,Cafe,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É Secret Alley,3.9,450.0,Indiranagar,Fast Food,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Delight,3.2,400.0,Marathahalli,Cafe,Mid-Range
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Felix,4.4,1700.0,Lavelle Road,American,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Mh-28,3.4,300.0,Lavelle Road,Cafe,Budget-Friendly
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Mor'Ish,4.1,700.0,Koramangala 7Th Block,Bbq,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É S,3.2,600.0,Koramangala 6Th Block,Cafe,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Secret Alley,3.9,450.0,Mg Road,Cafe,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚‚Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Felix,4.4,1700.0,Lavelle Road,American,Luxury Premium
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚‚Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Mh-28,3.4,300.0,Lavelle Road,Cafe,Budget-Friendly
Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚‚Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É Mor'Ish,4.1,700.0,Lavelle Road,Bbq,Luxury Premium
Cafe @ Elanza,3.7,1000.0,Brigade Road,Chinese,Luxury Premium
Cafe 22,2.9,700.0,Residency Road,Cafe,Luxury Premium
Cafe 221B,3.7,300.0,Basavanagudi,Cafe,Budget-Friendly
Cafe 58,3.4,200.0,"Byresandra,Tavarekere,Madiwala",Fast Food,Budget-Friendly
Cafe 99 Kerala Mess,3.7,350.0,Kalyan Nagar,Kerala,Mid-Range
Cafe Aira,4.1,500.0,Banashankari,Cafe,Luxury Premium
Cafe Ajfan,4.2,700.0,Banashankari,Cafe,Luxury Premium
Cafe Aladdin,3.9,500.0,Brigade Road,Cafe,Luxury Premium
Cafe Alchemist,3.8,300.0,"Byresandra,Tavarekere,Madiwala",Fast Food,Budget-Friendly
Cafe Arabica,3.8,700.0,Bannerghatta Road,Cafe,Luxury Premium
Cafe At The Atelier,4.2,800.0,Bellandur,Cafe,Luxury Premium
Cafe Azzure,4.2,1200.0,Kalyan Nagar,Cafe,Luxury Premium
Cafe Bangalore,3.4,300.0,Kalyan Nagar,Fast Food,Budget-Friendly
Cafe Beirut,3.7,400.0,Kammanahalli,Arabian,Mid-Range
Cafe Bengaluru,3.3,300.0,Rajajinagar,Fast Food,Budget-Friendly
Cafe Black Pepper,2.8,200.0,Electronic City,Fast Food,Budget-Friendly
Cafe Bollywood,3.4,200.0,"Byresandra,Tavarekere,Madiwala",Street Food,Budget-Friendly
Cafe Braqa,4.0,700.0,Brigade Road,Cafe,Luxury Premium
Cafe Cassia& Deli,4.2,1000.0,Brigade Road,Lebanese,Luxury Premium
Cafe Centralis,2.8,600.0,Malleshwaram,Cafe,Luxury Premium
Cafe Cerrise,3.8,600.0,Brigade Road,Cafe,Luxury Premium
Cafe Chaippu,2.8,150.0,Sarjapur Road,Kerala,Budget-Friendly
Cafe China,3.7,500.0,Kalyan Nagar,Chinese,Luxury Premium
Cafe Choco Craze,3.7,400.0,Bannerghatta Road,Cafe,Mid-Range
Cafe Coffee Day,2.3,900.0,Brookefield,Cafe,Luxury Premium
Cafe Coffee Day The Lounge,2.9,650.0,Indiranagar,Cafe,Luxury Premium
Cafe Coffee Day The Square,4.1,1100.0,Church Street,Cafe,Luxury Premium
Cafe Conico,2.8,600.0,Bannerghatta Road,Cafe,Luxury Premium
Cafe Cosy,4.1,800.0,Basavanagudi,Cafe,Luxury Premium
Cafe Crumb'Z,3.3,300.0,Electronic City,Cafe,Budget-Friendly
Cafe Daily Bread,3.7,600.0,Bellandur,Bakery,Luxury Premium
Cafe D'Costa,3.8,200.0,Frazer Town,Bakery,Budget-Friendly
Cafe D'Hide,4.2,600.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Cafe Fattoush,3.8,700.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Cafe Get Hooked,3.6,600.0,Kalyan Nagar,Cafe,Luxury Premium
Cafe Graffiters,3.8,600.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Cafe Grill,4.1,300.0,Indiranagar,Chinese,Budget-Friendly
Cafe Happytizing,4.1,700.0,Electronic City,Cafe,Luxury Premium
Cafe Highrangers,3.3,400.0,Electronic City,Cafe,Mid-Range
Cafe Hops,3.7,300.0,Bannerghatta Road,Desserts,Budget-Friendly
Cafe Hush,3.6,500.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Cafe Idly,2.9,200.0,Indiranagar,South Indian,Budget-Friendly
Cafe Iftar,3.8,200.0,Frazer Town,Fast Food,Budget-Friendly
Cafe Imroze,3.6,650.0,Brigade Road,Cafe,Luxury Premium
Cafe Indiana,3.5,600.0,Bannerghatta Road,Fast Food,Luxury Premium
Cafe Jezve,3.8,500.0,Kammanahalli,Cafe,Luxury Premium
Cafe Kaara,4.2,750.0,Brigade Road,Cafe,Luxury Premium
Cafe Kabana,4.0,700.0,Bannerghatta Road,Cafe,Luxury Premium
Cafe Lassi Lab,3.3,300.0,Malleshwaram,Fast Food,Budget-Friendly
Cafe Longing,2.8,200.0,Koramangala 5Th Block,Cafe,Budget-Friendly
Cafe Madhura,3.8,200.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Cafe Mamma Mia,3.7,600.0,Rajajinagar,Continental,Luxury Premium
Cafe Mandala,3.9,600.0,Malleshwaram,Cafe,Luxury Premium
Cafe Mangii,4.3,1600.0,Brigade Road,Italian,Luxury Premium
Cafe Max,4.2,1300.0,Indiranagar,Cafe,Luxury Premium
Cafe Medley,4.2,800.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Cafe Mingo?S,3.3,200.0,Frazer Town,Fast Food,Budget-Friendly
Cafe Mist,3.8,500.0,Bannerghatta Road,Cafe,Luxury Premium
Cafe Monarch Luxur,3.8,800.0,Brigade Road,North Indian,Luxury Premium
Cafe Mondo,3.7,600.0,Jayanagar,Cafe,Luxury Premium
Cafe Mozaic - Taj Mg Road Bengaluru,4.1,2500.0,Brigade Road,North Indian,Luxury Premium
Cafe Nibras,3.4,400.0,Frazer Town,Cafe,Mid-Range
Cafe Noir,3.4,1500.0,Brookefield,European,Luxury Premium
Cafe Nosh,4.2,500.0,New Bel Road,Cafe,Luxury Premium
Cafe Nova,3.2,600.0,Banashankari,Cafe,Luxury Premium
Cafe Nukkad,4.0,200.0,Kalyan Nagar,Fast Food,Budget-Friendly
Cafe Of Joy,3.7,600.0,Brookefield,Continental,Luxury Premium
Cafe Oleiva,3.3,500.0,Indiranagar,Cafe,Luxury Premium
Cafe Olive,3.1,500.0,Brookefield,Cafe,Luxury Premium
Cafe On The Way,4.0,500.0,Koramangala 4Th Block,Cafe,Luxury Premium
Cafe Orio,4.0,400.0,"Byresandra,Tavarekere,Madiwala",Cafe,Mid-Range
Cafe P Square,3.8,250.0,Kalyan Nagar,Street Food,Budget-Friendly
Cafe Palmyra,4.2,2000.0,Brookefield,Chinese,Luxury Premium
Cafe Palnad,4.0,400.0,Electronic City,South Indian,Mid-Range
Cafe Petu,3.8,300.0,Brookefield,North Indian,Budget-Friendly
Cafe Pink Pajamas,4.1,700.0,Kalyan Nagar,Cafe,Luxury Premium
Cafe Poetry,3.7,400.0,Malleshwaram,Cafe,Mid-Range
Cafe Potpourri,3.7,400.0,Bannerghatta Road,Cafe,Mid-Range
Cafe Qissa,3.3,100.0,Kalyan Nagar,Burger,Budget-Friendly
Cafe Repeat,2.8,250.0,Bellandur,North Indian,Budget-Friendly
Cafe Ritzz,3.6,700.0,Old Airport Road,North Indian,Luxury Premium
Cafe Rossini,3.9,700.0,Malleshwaram,Continental,Luxury Premium
Cafe Shawamek,3.2,300.0,Electronic City,Fast Food,Budget-Friendly
Cafe Shuffle,4.2,600.0,Banashankari,Cafe,Luxury Premium
Cafe Soy,3.8,250.0,Indiranagar,Asian,Budget-Friendly
Cafe Srinidhi,3.1,200.0,Old Airport Road,South Indian,Budget-Friendly
Cafe Sulaimani,2.8,300.0,"Byresandra,Tavarekere,Madiwala",Kerala,Budget-Friendly
Cafe Talk,3.3,700.0,Bannerghatta Road,Cafe,Luxury Premium
Cafe Talkhouse,3.8,400.0,Hsr,North Indian,Mid-Range
Cafe Terra,2.8,700.0,Basavanagudi,Cafe,Luxury Premium
Cafe Thulp,3.4,1000.0,Brookefield,Cafe,Luxury Premium
Cafe Treat - The Pride Hotel,4.1,1000.0,Church Street,Continental,Luxury Premium
Cafe Udupi Ruchi,4.0,350.0,Rajajinagar,South Indian,Mid-Range
Cafe Velvette,3.4,400.0,Old Airport Road,Cafe,Mid-Range
Cafe Vivacity,3.8,650.0,Banashankari,Cafe,Luxury Premium
Cafe Xtasi,2.8,400.0,Electronic City,Pizza,Mid-Range
Cafe Zamorin,3.7,300.0,Kalyan Nagar,Chinese,Budget-Friendly
Cafe Zone,3.9,300.0,Banashankari,Fast Food,Budget-Friendly
Cafe Zuppa,2.8,450.0,Bannerghatta Road,Cafe,Luxury Premium
Caf-Eleven,4.0,450.0,Banashankari,Cafe,Luxury Premium
Cafemoto,4.0,800.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Caferia,3.3,200.0,Church Street,Fast Food,Budget-Friendly
Cafesta,4.3,550.0,Brookefield,Cafe,Luxury Premium
Cafeteria Al - Falah,3.3,300.0,Kalyan Nagar,Fast Food,Budget-Friendly
Cafezone,3.7,250.0,Kalyan Nagar,Burger,Budget-Friendly
Caffe Maven,3.4,300.0,Brigade Road,Chinese,Budget-Friendly
Caffe Pascucci,4.1,950.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Cake 24X7,3.2,450.0,Brookefield,Bakery,Luxury Premium
Cake Art,2.9,400.0,"Byresandra,Tavarekere,Madiwala",Bakery,Mid-Range
Cake Box,2.9,400.0,Bellandur,Bakery,Mid-Range
Cake Cafe,4.0,300.0,Hsr,Bakery,Budget-Friendly
Cake Chemistry,2.8,500.0,Basavanagudi,Bakery,Luxury Premium
Cake Delights,3.6,500.0,Bellandur,Bakery,Luxury Premium
Cake Dilim,2.8,500.0,Indiranagar,Bakery,Luxury Premium
Cake Gallery,3.6,300.0,Malleshwaram,Bakery,Budget-Friendly
Cake Genie,3.9,300.0,Indiranagar,Desserts,Budget-Friendly
Cake Ghar,3.8,400.0,Banashankari,Bakery,Mid-Range
Cake House - Story Cafe,3.8,650.0,Kammanahalli,Bakery,Luxury Premium
Cake Inc.,3.5,450.0,Indiranagar,Bakery,Luxury Premium
Cake Menu,3.2,400.0,Hsr,Bakery,Mid-Range
Cake N Cream,3.5,360.0,Indiranagar,Bakery,Mid-Range
Cake Of Day,2.8,150.0,Basavanagudi,Bakery,Budget-Friendly
Cake Of The Day,3.2,150.0,Basavanagudi,Bakery,Budget-Friendly
Cake Palace,3.4,100.0,Indiranagar,Bakery,Budget-Friendly
Cake Town Cafe,3.9,500.0,Bellandur,Bakery,Luxury Premium
Cake Yard,2.9,250.0,"Byresandra,Tavarekere,Madiwala",Desserts,Budget-Friendly
Cakea,2.8,300.0,Electronic City,Bakery,Budget-Friendly
Cakeberries,3.7,200.0,Old Airport Road,Bakery,Budget-Friendly
Cakebox,3.5,400.0,Hsr,Bakery,Mid-Range
Cakebuy,3.9,350.0,Bannerghatta Road,Desserts,Mid-Range
Cake-O-Mania,3.4,300.0,Bannerghatta Road,Bakery,Budget-Friendly
Cakeport,3.4,400.0,Jayanagar,Bakery,Mid-Range
Cakes & Candles,3.1,300.0,"Byresandra,Tavarekere,Madiwala",Bakery,Budget-Friendly
Cakes & Slices,3.5,300.0,Banashankari,Bakery,Budget-Friendly
Cakes And Crumbs,3.4,350.0,Bannerghatta Road,Bakery,Mid-Range
Cakes And Moulds,3.6,300.0,Koramangala 4Th Block,Bakery,Budget-Friendly
Cakes By M,3.4,500.0,Bannerghatta Road,Bakery,Luxury Premium
Cakes Wagon,3.3,600.0,Electronic City,Bakery,Luxury Premium
"Cakes, Crumbs & Magic",3.3,300.0,Kalyan Nagar,Bakery,Budget-Friendly
Cakesta,4.1,500.0,Brookefield,Bakery,Luxury Premium
Cakewala,4.1,500.0,"Byresandra,Tavarekere,Madiwala",Bakery,Luxury Premium
Cakewalk,4.1,500.0,Indiranagar,Desserts,Luxury Premium
Cakezone,3.2,500.0,Electronic City,Bakery,Luxury Premium
Calcutta Cafe,3.5,350.0,Banashankari,Bengali,Mid-Range
Calcutta Chats,3.5,200.0,Church Street,Street Food,Budget-Friendly
Calcutta North Indian Meals,3.2,200.0,Whitefield,North Indian,Budget-Friendly
Calcutta Victoria Chat House,2.8,200.0,Kammanahalli,Fast Food,Budget-Friendly
Calicut Durbar,3.8,500.0,Koramangala 5Th Block,Arabian,Luxury Premium
Calicut Mess House,3.2,250.0,Whitefield,Kerala,Budget-Friendly
Calicut Restaurant,3.9,450.0,Malleshwaram,Kerala,Luxury Premium
California Burrito,3.3,400.0,Jayanagar,Mexican,Mid-Range
Call A Cake,3.6,500.0,"Byresandra,Tavarekere,Madiwala",Bakery,Luxury Premium
Calorie Express,3.6,450.0,Bannerghatta Road,Healthy Food,Luxury Premium
Calvin'S,2.9,800.0,Bannerghatta Road,Desserts,Luxury Premium
Camp Tandoor,3.7,300.0,Church Street,North Indian,Budget-Friendly
Campus Juice Corner,3.3,100.0,Jp Nagar,Fast Food,Budget-Friendly
Candy Cake,3.4,500.0,"Byresandra,Tavarekere,Madiwala",Bakery,Luxury Premium
Cane Crussh,2.8,100.0,"Byresandra,Tavarekere,Madiwala",Juices,Budget-Friendly
Cane Recipes,3.5,100.0,Bannerghatta Road,Juices,Budget-Friendly
Cane-O-La,3.8,100.0,Banashankari,Juices,Budget-Friendly
Canopus Multicuisine Restaurant,2.8,800.0,Bellandur,North Indian,Luxury Premium
Canopy,3.0,800.0,Brigade Road,North Indian,Luxury Premium
Canopy Flavours,2.6,450.0,Hsr,Cafe,Luxury Premium
Canton,3.4,800.0,Jayanagar,Chinese,Luxury Premium
Caperberry,4.6,2200.0,Brigade Road,Spanish,Luxury Premium
Caprese - Shangri-La Hotel,4.2,3000.0,Lavelle Road,Italian,Luxury Premium
Capri Gastrobar,4.3,1200.0,Brigade Road,Mediterranean,Luxury Premium
Capsicum Family Restaurant,3.8,800.0,Bannerghatta Road,Biryani,Luxury Premium
Captain Egg,4.1,400.0,Whitefield,Fast Food,Mid-Range
Caramel Shake,2.8,200.0,Basavanagudi,Beverages,Budget-Friendly
Caramel Whitefield,3.7,1000.0,Whitefield,Desserts,Luxury Premium
Caraway Kitchen - Conrad Bengaluru,4.3,2800.0,Indiranagar,American,Luxury Premium
Carbon Cup,3.5,400.0,Malleshwaram,North Indian,Mid-Range
Cardamom Pods,2.8,450.0,Marathahalli,North Indian,Luxury Premium
Cariocake,3.9,350.0,Jayanagar,Bakery,Mid-Range
Carlos Cake Cafe,3.3,300.0,Brookefield,Bakery,Budget-Friendly
Carnatic,4.1,1000.0,Residency Road,South Indian,Luxury Premium
Carnival Cakes & Breads,3.5,200.0,Hsr,Bakery,Budget-Friendly
Carnival De Goa,4.2,1000.0,Brigade Road,Goan,Luxury Premium
Carrots,4.1,1100.0,"Byresandra,Tavarekere,Madiwala",Italian,Luxury Premium
Casa De Goa,4.2,1400.0,Kalyan Nagar,Goan,Luxury Premium
Casa Express,2.6,400.0,Brigade Road,Chinese,Mid-Range
Casa Piccosa,4.1,1100.0,Bannerghatta Road,South American,Luxury Premium
Casamia,3.6,400.0,Malleshwaram,Andhra,Mid-Range
Cashmere Nites,3.5,600.0,"Byresandra,Tavarekere,Madiwala",Kashmiri,Luxury Premium
Casino Hotel,3.9,500.0,Malleshwaram,North Indian,Luxury Premium
Castle Rock,3.6,700.0,Banashankari,North Indian,Luxury Premium
Catch-Up-Ino,3.9,800.0,Banashankari,Cafe,Luxury Premium
Cauvery Fast Food,3.2,150.0,Koramangala 4Th Block,Chinese,Budget-Friendly
Cauvery Hyderabadi Biriyani,3.8,600.0,Bellandur,North Indian,Luxury Premium
Cauvery Punjabi Khana,3.4,300.0,Rajajinagar,North Indian,Budget-Friendly
Cave N Dine,3.1,800.0,Rajajinagar,North Indian,Luxury Premium
Cedar Bar & Dive - Hotel Presidency,3.8,1200.0,Electronic City,North Indian,Luxury Premium
Celebrations 365,3.3,350.0,Brookefield,Desserts,Mid-Range
Celeste'S Kitchen,3.3,400.0,Indiranagar,Chinese,Mid-Range
Central Cafe,3.2,300.0,Marathahalli,Beverages,Budget-Friendly
Central Jail Restaurant,3.7,700.0,Jayanagar,Andhra,Luxury Premium
Chaai Bee,3.5,250.0,"Byresandra,Tavarekere,Madiwala",Beverages,Budget-Friendly
Chaai Resto,2.7,300.0,"Byresandra,Tavarekere,Madiwala",Beverages,Budget-Friendly
Chaarcoal,4.0,1200.0,Bellandur,North Indian,Luxury Premium
Chaat Bazaar,3.7,300.0,Brookefield,Street Food,Budget-Friendly
Chaat Central,3.3,300.0,Bannerghatta Road,Street Food,Budget-Friendly
Chaat Chatore,3.1,300.0,Bannerghatta Road,Fast Food,Budget-Friendly
Chaat Express,3.4,200.0,Sarjapur Road,Fast Food,Budget-Friendly
Chaat Junction,3.6,200.0,Brookefield,Street Food,Budget-Friendly
Chaat Lounge,3.0,300.0,Malleshwaram,North Indian,Budget-Friendly
Chaat Street,3.9,250.0,Koramangala 5Th Block,Street Food,Budget-Friendly
Chaat Trail By Moti Mahal,3.9,300.0,Hsr,Street Food,Budget-Friendly
Chaatimes,3.4,200.0,Bannerghatta Road,Street Food,Budget-Friendly
Chaatter Box,3.4,250.0,Jp Nagar,South Indian,Budget-Friendly
Chaavadi,3.7,750.0,Indiranagar,North Indian,Luxury Premium
Cha-Cha Cha-Chi,3.3,100.0,Hsr,Fast Food,Budget-Friendly
Chacha Ka Dhaba,2.8,400.0,Brookefield,North Indian,Mid-Range
Chackochi Mess,3.3,250.0,Hsr,Kerala,Budget-Friendly
Chai & Kadi,3.8,200.0,Indiranagar,South Indian,Budget-Friendly
Chai Cafe,3.9,200.0,Indiranagar,Cafe,Budget-Friendly
Chai Central,3.2,200.0,Frazer Town,Tea,Budget-Friendly
Chai Chowk,3.8,200.0,Koramangala 6Th Block,Chinese,Budget-Friendly
Chai Culture,3.6,200.0,Basavanagudi,Beverages,Budget-Friendly
Chai Darbaar,3.1,300.0,Marathahalli,North Indian,Budget-Friendly
Chai Days,4.4,200.0,Indiranagar,Cafe,Budget-Friendly
Chai Galli,4.1,300.0,Marathahalli,Cafe,Budget-Friendly
Chai Kada,3.6,400.0,Kammanahalli,Beverages,Mid-Range
Chai Ki Tapri,3.7,250.0,Brigade Road,Cafe,Budget-Friendly
Chai Kraft,4.1,100.0,Banashankari,Beverages,Budget-Friendly
Chai Makhan,3.5,300.0,Koramangala 6Th Block,North Indian,Budget-Friendly
Chai Makhani,3.5,100.0,"Byresandra,Tavarekere,Madiwala",Beverages,Budget-Friendly
Chai Mane,3.2,100.0,Basavanagudi,Beverages,Budget-Friendly
Chai Mania,2.8,300.0,Brookefield,Cafe,Budget-Friendly
Chai Masthi,3.4,200.0,Indiranagar,Fast Food,Budget-Friendly
Chai Point,3.8,250.0,Marathahalli,Fast Food,Budget-Friendly
Chai Resto,3.3,200.0,Indiranagar,Fast Food,Budget-Friendly
Chai Street,3.2,150.0,"Byresandra,Tavarekere,Madiwala",Beverages,Budget-Friendly
Chai World,3.5,300.0,Bellandur,Tea,Budget-Friendly
Chaipatty,3.0,400.0,Old Airport Road,Cafe,Mid-Range
Chaitanya Cafe,3.9,300.0,Bannerghatta Road,South Indian,Budget-Friendly
Chaitanya Grand,3.6,300.0,Bannerghatta Road,South Indian,Budget-Friendly
Chaitanya Veg,3.2,300.0,Brigade Road,South Indian,Budget-Friendly
Chaithanya Andhra Style Family Restaurant,3.2,600.0,Brigade Road,Andhra,Luxury Premium
Chaithanya Delicacy,3.7,550.0,Brigade Road,North Indian,Luxury Premium
Chaithanya Veg,3.7,200.0,Indiranagar,South Indian,Budget-Friendly
Chaithanya Xpress,3.6,300.0,Indiranagar,South Indian,Budget-Friendly
Chaitra Restaurant,3.7,700.0,Kalyan Nagar,North Indian,Luxury Premium
Chaiwala,3.1,100.0,"Byresandra,Tavarekere,Madiwala",Fast Food,Budget-Friendly
Chaiywaala Da Dhaba,3.7,250.0,New Bel Road,Cafe,Budget-Friendly
Chakh Le Foods,3.4,500.0,Indiranagar,North Indian,Luxury Premium
Chakh Le India,3.1,300.0,Brookefield,North Indian,Budget-Friendly
Chakum Chukum Calcutta On A Roll,2.8,400.0,Old Airport Road,Fast Food,Mid-Range
Chalo Delhi Darbaar,3.5,400.0,Koramangala 6Th Block,North Indian,Mid-Range
Chamarajpet Non Veg Restaurant,3.6,200.0,Basavanagudi,South Indian,Budget-Friendly
Champaran Spice,3.4,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Chamrajpet Chats And Juice Corner,2.8,150.0,Basavanagudi,Fast Food,Budget-Friendly
Chamrajpet Kabab Junction,3.2,250.0,Basavanagudi,North Indian,Budget-Friendly
Chandni Chowk 2 Bangalore,4.2,400.0,Indiranagar,North Indian,Mid-Range
Chandrappa Hotel,4.2,450.0,Malleshwaram,South Indian,Luxury Premium
Chandrika Tiffins,4.0,300.0,Whitefield,North Indian,Budget-Friendly
Chandrima'S Kitchen,3.7,400.0,Bannerghatta Road,Bengali,Mid-Range
Chandu Dhaba,3.8,250.0,Hsr,Street Food,Budget-Friendly
Chandus Delux,3.9,600.0,Malleshwaram,South Indian,Luxury Premium
Chandus Hotel,3.0,200.0,Rajajinagar,South Indian,Budget-Friendly
